,제목,링크,정보제공,날짜
101,"
'금융피해 방지' 카카오페이손보 첫 보험, 아름다운재단에도 기부
",https://finance.naver.com//item/news_read.naver?article_id=0004120531&office_id=011&code=377300&page=4&sm=title_entity_id.basic,서울경제, 2022.11.10 10:29
102,"
카카오페이손보, 아름다운재단에 '금융안심보험' 기부
",https://finance.naver.com//item/news_read.naver?article_id=0004816302&office_id=008&code=377300&page=4&sm=title_entity_id.basic,머니투데이, 2022.11.10 10:12
103,"
""보험으로 사회 기여""…카카오페이손보, 아름다운재단에 '금융안심보험'...
",https://finance.naver.com//item/news_read.naver?article_id=0000033939&office_id=243&code=377300&page=4&sm=title_entity_id.basic,이코노미스트, 2022.11.10 09:50
104,"
카카오페이손보, ‘금융 안심 보험’ 기부… 자립준비 청년 지원한다
",https://finance.naver.com//item/news_read.naver?article_id=0000853833&office_id=366&code=377300&page=4&sm=title_entity_id.basic,조선비즈, 2022.11.10 09:28
105,"
카카오페이손보, 자립준비청년 지원 시작…아름다운재단에 ‘금융안심보험’...
",https://finance.naver.com//item/news_read.naver?article_id=0002290160&office_id=123&code=377300&page=4&sm=title_entity_id.basic,조세일보, 2022.11.10 09:17
106,"
코스피, 달러 강세에 외인 ‘팔자’…카카오페이 3%대 하락 [증시이슈]
",https://finance.naver.com//item/news_read.naver?article_id=0000033935&office_id=243&code=377300&page=4&sm=title_entity_id.basic,이코노미스트, 2022.11.10 09:37
107,"
[특징주] 카카오페이, 알리페이 손잡고 연일 강세
",https://finance.naver.com//item/news_read.naver?article_id=0004120113&office_id=011&code=377300&page=4&sm=title_entity_id.basic,서울경제, 2022.11.09 13:28
108,"
[특징주] 카카오페이, 연일 강세...8%대 급등
",https://finance.naver.com//item/news_read.naver?article_id=0004925503&office_id=014&code=377300&page=4&sm=title_entity_id.basic,파이낸셜뉴스, 2022.11.09 10:51
109,"
‘알리페이’ 효과 나흘째…카카오페이 12%대 급등 [증시이슈]
",https://finance.naver.com//item/news_read.naver?article_id=0000033827&office_id=243&code=377300&page=4&sm=title_entity_id.basic,이코노미스트, 2022.11.09 09:47
110,"
[특징주] ‘알리페이 효과’ 카카오페이 이틀 연속 급등
",https://finance.naver.com//item/news_read.naver?article_id=0000853489&office_id=366&code=377300&page=4&sm=title_entity_id.basic,조선비즈, 2022.11.09 09:26
111,"
개미 속 태우던 카카오페이 반등
",https://finance.naver.com//item/news_read.naver?article_id=0005041936&office_id=009&code=377300&page=5&sm=title_entity_id.basic,매일경제, 2022.11.08 17:31
112,"
급락하던 카카오페이 주가, 中 회사가 살렸네… 알리페이 제휴 소식에 ...
",https://finance.naver.com//item/news_read.naver?article_id=0000853381&office_id=366&code=377300&page=5&sm=title_entity_id.basic,조선비즈, 2022.11.08 16:47
113,"
카카오페이, 알리페이 손잡고 중국 진출…주가 9% 강세
",https://finance.naver.com//item/news_read.naver?article_id=0000078206&office_id=024&code=377300&page=5&sm=title_entity_id.basic,매경이코노미, 2022.11.08 14:50
114,"
""중국서도 결제된다""...카카오페이, 10% 가까운 주가 상승
",https://finance.naver.com//item/news_read.naver?article_id=0004924915&office_id=014&code=377300&page=5&sm=title_entity_id.basic,파이낸셜뉴스, 2022.11.08 13:59
115,"
개미 속 태우던 카카오페이...알리페이 손잡고 10% 급등
",https://finance.naver.com//item/news_read.naver?article_id=0005041645&office_id=009&code=377300&page=5&sm=title_entity_id.basic,매일경제, 2022.11.08 11:33
116,"
카카오페이, 中 진출 소식에 7%대 급등
",https://finance.naver.com//item/news_read.naver?article_id=0004772127&office_id=015&code=377300&page=5&sm=title_entity_id.basic,한국경제, 2022.11.08 11:12
117,"
카카오페이, 중국 진출 소식에 장중 9%대 급등 [증시이슈]
",https://finance.naver.com//item/news_read.naver?article_id=0000033744&office_id=243&code=377300&page=5&sm=title_entity_id.basic,이코노미스트, 2022.11.08 10:45
118,"
[특징주] 카카오페이, 중국 결제 서비스 개시 소식에 9%대 상승
",https://finance.naver.com//item/news_read.naver?article_id=0000853227&office_id=366&code=377300&page=5&sm=title_entity_id.basic,조선비즈, 2022.11.08 10:45
119,"
[특징주] 카카오페이 중국 진출 소식에 7% 급등
",https://finance.naver.com//item/news_read.naver?article_id=0004119488&office_id=011&code=377300&page=5&sm=title_entity_id.basic,서울경제, 2022.11.08 10:23
120,"
카카오그룹株, '활짝' 웃었다…골드만삭스에 카카오페이는 9% ↑
",https://finance.naver.com//item/news_read.naver?article_id=0004815512&office_id=008&code=377300&page=5&sm=title_entity_id.basic,머니투데이, 2022.11.08 16:46
121,"
카카오그룹株, 본격 반등 나서나…카카오페이는 10% 넘게 '급등'
",https://finance.naver.com//item/news_read.naver?article_id=0004815390&office_id=008&code=377300&page=5&sm=title_entity_id.basic,머니투데이, 2022.11.08 14:13
